======================
BLEU:            45.03
SIM:            0.9083
======================
         BLEU | SIM
0731 -  75.31 | 0.8431
0732 -  59.93 | 0.9548
0733 -  60.65 | 0.9745
0734 -   0.00 | 0.9235
0735 -   0.00 | 0.8301
0736 -  98.80 | 0.9424
0737 -  59.56 | 0.8683
0738 -  87.37 | 0.8671
0739 -  21.25 | 0.9391
0740 -  16.07 | 0.9166
0741 -   0.00 | 0.9186
0742 -   8.86 | 0.8441
0743 -  39.39 | 0.9600
0744 -  86.23 | 0.9248
0745 -  18.36 | 0.8675
0746 -  90.62 | 0.9323
0747 -  72.86 | 0.9094
0748 -   0.00 | 0.8869
0749 -  76.15 | 0.8854
0750 -  16.48 | 0.9645
0751 -  35.95 | 0.8416
0752 -  37.80 | 0.8468
0753 -  38.42 | 0.9844
0754 -   9.82 | 0.8978
0755 -  79.33 | 0.7499
0756 -  12.79 | 0.9552
0757 -  41.24 | 0.9865
0758 -   0.00 | 0.9330
0759 -  28.66 | 0.9566
0760 -  14.61 | 0.7114
0761 -  31.89 | 0.9696
0762 -  11.13 | 0.8000
0763 -  68.78 | 0.9642
0764 -  67.16 | 0.8642
0765 -  28.91 | 0.8808
0766 -  78.31 | 0.8638
0767 -  96.90 | 0.9748
0768 -  82.08 | 0.9549
0769 -  76.03 | 0.9269
0770 -  23.40 | 0.9124
0771 -  33.32 | 0.7233
0772 -  24.74 | 0.8979
0773 -   0.00 | 0.8561
0774 -  50.36 | 0.8698
0775 -  17.90 | 0.8905
0776 -   0.00 | 0.8308
0777 -  75.87 | 0.8126
0778 -  78.68 | 0.8173
0779 -  59.40 | 0.9707
0780 -  11.54 | 0.4852
0781 -  96.66 | 0.8186
0782 -  17.60 | 0.8617
0783 -  73.58 | 0.9480
0784 -  56.97 | 0.8681
0785 -  35.13 | 0.9827
0786 -  69.44 | 0.8378
0787 -   0.00 | 0.8538
0788 -  56.39 | 0.8089
0789 -   9.09 | 0.7344
0790 -  23.21 | 0.8929
0791 -  57.88 | 0.8738
0792 -  51.40 | 0.8876
0793 -  73.25 | 0.9741
0794 -  92.01 | 0.9774
0795 -  44.08 | 0.9194
0796 -  48.33 | 0.9705
0797 -  81.27 | 0.7771
