======================
BLEU:            72.96
SIM:            0.9083
======================
         BLEU | SIM
0659 -  64.29 | 0.9000
0660 -  22.88 | 0.8363
0661 -   0.00 | 0.6676
0662 -  71.68 | 0.9362
0663 -  20.93 | 0.8437
0664 -  50.22 | 0.9191
0665 -  85.96 | 0.9825
0666 -  57.63 | 0.9895
0667 -  24.87 | 0.9647
0668 -  54.57 | 0.8290
0669 -   0.00 | 0.9645
0670 -  58.39 | 0.8883
0671 -  56.39 | 0.9159
0672 -  71.84 | 0.9589
0673 -  39.61 | 0.9107
0674 -  14.05 | 0.9887
0675 -   0.00 | 0.8747
0676 -  49.19 | 0.8805
0677 -   6.85 | 0.7970
0678 -  74.41 | 0.9008
0679 -  84.20 | 0.9660
0680 -  96.65 | 0.9269
0681 -  77.87 | 0.9620
0682 -   0.00 | 0.9994
0683 -  79.84 | 0.9327
0684 -  31.74 | 0.6624
0685 -  46.75 | 0.9701
0686 -  40.27 | 0.8581
0687 -   0.00 | 0.9500
0688 -  59.69 | 0.9495
0689 -  81.96 | 0.9907
0690 -  35.41 | 0.9764
0691 -  97.12 | 0.9698
0692 -  97.42 | 0.9554
0693 -   8.12 | 0.9859
0694 -   0.00 | 0.9493
0695 -  74.47 | 0.9727
0696 -  99.79 | 0.9520
0697 -  51.59 | 0.8854
0698 -   0.00 | 0.6965
0699 -  30.95 | 0.9023
0700 -   0.00 | 0.9062
0701 -  62.85 | 0.7669
0702 -   0.00 | 0.9064
0703 -  25.74 | 0.9860
0704 -  34.37 | 0.8621
0705 -   0.00 | 0.9392
0706 -  70.78 | 0.8876
0707 -  51.36 | 0.9837
0708 -  99.66 | 0.8687
0709 -  15.16 | 0.8909
0710 -   0.00 | 0.9546
0711 -  33.16 | 0.7056
0712 -  16.60 | 0.6920
0713 -   0.00 | 0.9128
0714 -  10.35 | 0.8960
0715 -  68.19 | 0.9501
0716 -   0.00 | 0.9027
0717 -  59.33 | 0.9226
0718 -  86.86 | 0.9182
0719 -  99.78 | 0.9287
0720 -  60.47 | 0.9820
0721 -   0.00 | 0.8723
0722 -  99.77 | 0.9201
0723 -  66.44 | 0.9343
0724 -   0.00 | 0.9377
0725 -  17.97 | 0.9106
0726 -   0.00 | 0.9650
0727 -  17.95 | 0.8845
0728 - 100.00 | 0.7634
0729 -  92.12 | 0.9614
0730 -  76.91 | 0.8510
0731 -  72.95 | 0.8431
0732 -  60.07 | 0.9548
0733 -  61.69 | 0.9745
0734 -   0.00 | 0.9235
0735 -   0.00 | 0.8301
0736 -  98.17 | 0.9424
0737 -  60.14 | 0.8683
0738 -  88.41 | 0.8671
0739 -  21.33 | 0.9391
0740 -  15.73 | 0.9166
0741 -   0.00 | 0.9186
0742 -   0.00 | 0.8441
0743 -  37.61 | 0.9600
0744 -   5.00 | 0.9248
0745 -  16.85 | 0.8675
0746 -  21.76 | 0.9323
0747 -  75.32 | 0.9094
0748 -   0.00 | 0.8869
0749 -  75.66 | 0.8854
0750 -  15.43 | 0.9645
0751 -  28.06 | 0.8416
0752 -  38.53 | 0.8468
0753 -  38.67 | 0.9844
0754 -   9.88 | 0.8978
0755 -  76.61 | 0.7499
0756 -  14.08 | 0.9552
0757 -  39.34 | 0.9865
0758 -   0.00 | 0.9330
0759 -  30.77 | 0.9566
0760 -  44.35 | 0.7114
0761 -  18.86 | 0.9696
0762 -  14.69 | 0.8000
0763 -  61.91 | 0.9642
0764 -  66.09 | 0.8642
0765 -  28.30 | 0.8808
0766 -  77.90 | 0.8638
0767 -  96.96 | 0.9748
0768 -  81.88 | 0.9549
0769 -  75.45 | 0.9269
0770 -  24.19 | 0.9124
0771 -  30.13 | 0.7233
0772 -  26.29 | 0.8979
0773 -   0.00 | 0.8561
0774 -  49.99 | 0.8698
0775 -  16.64 | 0.8905
0776 -   0.00 | 0.8308
0777 -  51.54 | 0.8126
0778 -  79.64 | 0.8173
0779 -  58.21 | 0.9707
0780 -  11.87 | 0.4852
0781 -  99.45 | 0.8186
0782 -  16.54 | 0.8617
0783 -  63.02 | 0.9480
0784 -  57.67 | 0.8681
0785 -  30.10 | 0.9827
0786 -  69.63 | 0.8378
0787 -   0.00 | 0.8538
0788 -  63.25 | 0.8089
0789 -   8.06 | 0.7344
0790 -  23.84 | 0.8929
0791 -  84.21 | 0.8738
0792 -  52.40 | 0.8876
0793 -  72.76 | 0.9741
0794 -  19.46 | 0.9774
0795 -  42.80 | 0.9194
0796 -  47.28 | 0.9705
0797 -  82.45 | 0.7771
0798 -   0.00 | 0.9285
0799 -   0.00 | 0.8123
0800 -   0.00 | 0.8267
0801 -  16.18 | 0.8307
0802 -  79.98 | 0.9915
0803 -   0.00 | 0.5167
0804 -   0.00 | 0.8216
0805 -  13.39 | 0.8756
0806 -  90.99 | 0.9786
0807 -   8.08 | 0.9052
0808 -  31.57 | 0.9600
0809 -  30.41 | 0.9733
0810 -  97.68 | 0.9119
0811 -  14.40 | 0.9524
0812 -  20.44 | 0.8110
0813 -  99.79 | 0.9150
0814 -  12.32 | 0.9532
0815 -  63.63 | 0.9737
0816 -   0.00 | 0.8194
0817 -  37.74 | 0.8271
0818 -  63.72 | 0.8185
0819 -  30.28 | 0.9468
0820 -  24.77 | 0.9475
0821 -  99.01 | 0.9591
0822 -   0.00 | 0.9017
0823 -  15.19 | 0.8855
0824 -  81.67 | 0.8908
0825 -  45.96 | 0.9713
0826 -  52.00 | 0.9917
0827 -   4.00 | 0.9662
0828 -   0.00 | 0.8249
0829 -   0.00 | 0.7868
0830 -  73.88 | 0.9534
0831 -  65.68 | 0.9095
0832 -  94.43 | 0.8959
0833 -  51.54 | 0.9522
0834 -  89.04 | 0.9821
0835 -  27.82 | 0.9502
0836 -   0.00 | 0.8466
0837 -  42.15 | 0.9406
0838 -  33.55 | 0.9837
0839 -  67.66 | 0.9234
0840 -   0.00 | 0.8009
0841 -  90.56 | 0.9844
0842 -   0.00 | 0.9381
0843 -   0.00 | 0.9195
0844 -   0.00 | 0.9466
0845 -  61.93 | 0.9728
0846 -  12.12 | 0.9604
0847 -  70.56 | 0.8682
0848 -  60.40 | 0.9803
0849 -  61.29 | 0.9158
0850 -  35.34 | 0.8251
0851 -  99.79 | 0.9168
0852 -  94.87 | 0.9486
0853 -  82.42 | 0.9342
0854 -   0.00 | 0.8980
0855 -  34.46 | 0.9641
0856 -  49.82 | 0.9211
0857 -   9.24 | 0.9717
0858 -  61.98 | 0.9802
0859 -  14.59 | 0.8268
0860 -  41.59 | 0.8391
0861 -  74.64 | 0.8467
0862 -  40.69 | 0.8659
0863 -  74.67 | 0.9088
