==============================================
BLEU GOLD:                               28.01
BLEU IN:                                 37.20
SIM GOLD:                               0.8616
SIM IN:                                 0.8923
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0369 -     63.77 |   88.50 |     0.93 |   0.95
0370 -     56.11 |   62.29 |     0.97 |   0.99
0371 -     16.48 |   78.49 |     0.95 |   0.96
0372 -      4.38 |   14.91 |     0.84 |   0.84
0373 -     82.00 |   85.92 |     0.93 |   0.96
0374 -      0.00 |   37.50 |     0.87 |   0.89
0375 -     87.13 |   94.36 |     0.81 |   0.88
0376 -      0.00 |    0.00 |     0.81 |   0.83
0377 -     81.44 |   79.94 |     0.93 |   0.97
0378 -      0.00 |   36.23 |     0.81 |   0.91
0379 -     26.06 |   25.77 |     0.95 |   0.98
0380 -     68.82 |   71.45 |     0.90 |   0.92
0381 -      0.00 |    0.00 |     0.70 |   0.71
0382 -     68.95 |   64.98 |     0.91 |   0.98
0383 -     24.18 |   23.21 |     0.93 |   0.97
0384 -     10.14 |    0.00 |     0.77 |   0.82
0385 -      6.14 |    5.75 |     0.48 |   0.49
0386 -      6.01 |    6.02 |     0.98 |   0.98
0387 -     63.38 |   41.32 |     0.72 |   0.73
0388 -     21.57 |   23.02 |     0.96 |   0.97
0389 -     91.37 |  100.00 |     0.95 |   1.00
0390 -     15.57 |   97.45 |     0.97 |   0.99
0391 -     20.84 |   20.84 |     0.68 |   0.84
0392 -      6.86 |   38.67 |     0.86 |   0.87
0393 -     36.16 |   84.25 |     0.97 |   0.94
0394 -     21.72 |   39.05 |     0.69 |   0.74
0395 -     85.30 |   92.89 |     0.97 |   0.98
0396 -      0.00 |    0.00 |     0.97 |   0.98
0397 -     21.96 |   27.46 |     0.91 |   0.95
0398 -     21.84 |   65.30 |     0.94 |   0.96
0399 -     42.86 |  100.00 |     0.96 |   1.00
0400 -     19.74 |   19.46 |     0.94 |   0.96
0401 -      8.32 |   18.09 |     0.96 |   0.99
0402 -     34.90 |   77.76 |     0.97 |   0.98
0403 -     81.90 |   38.90 |     0.98 |   0.98
0404 -     44.18 |   50.88 |     0.87 |   0.89
0405 -     58.91 |   73.75 |     0.81 |   0.82
0406 -     12.52 |   12.52 |     0.88 |   0.92
0407 -     44.98 |   43.33 |     0.90 |   0.93
0408 -      4.90 |    4.86 |     0.98 |   0.99
0409 -      0.00 |    0.00 |     0.87 |   0.88
0410 -     81.53 |   86.65 |     0.95 |   0.96
0411 -      0.00 |    0.00 |     0.91 |   0.94
0412 -      8.51 |   25.68 |     0.53 |   0.55
0413 -     52.89 |   27.34 |     0.97 |   0.99
0414 -      0.00 |    0.00 |     0.78 |   0.81
0415 -     26.69 |   94.37 |     0.93 |   0.96
0416 -      0.00 |    0.00 |     0.97 |   1.00
0417 -      0.00 |    0.00 |     0.87 |   0.90
0418 -      0.00 |    0.00 |     0.77 |   0.78
0419 -      0.00 |    0.00 |     0.83 |   0.83
0420 -     13.95 |   14.10 |     0.75 |   0.80
0421 -      0.00 |    0.00 |     0.89 |   0.92
0422 -     30.40 |   58.48 |     0.95 |   0.95
0423 -     66.15 |   70.18 |     0.72 |   0.76
