==============================================
BLEU GOLD:                               50.21
BLEU IN:                                 55.80
ACC GOLD:                               0.0036
ACC IN:                                 0.0601
SIM GOLD:                               0.8121
SIM IN:                                 0.8406
==============================================
       BLEU GOLD | BLEU IN | SIM GOLD | SIM IN
0440 -     17.65 |   16.72 |     0.92 |   0.91
0441 -     10.09 |   10.15 |     0.97 |   0.97
0442 -      0.00 |    0.00 |     0.84 |   0.86
0443 -     47.40 |  100.00 |     0.92 |   1.00
0444 -      0.00 |    0.00 |     0.68 |   0.70
0445 -     61.28 |  100.00 |     0.91 |   1.00
0446 -     18.19 |   26.18 |     0.92 |   0.94
0447 -     43.04 |   97.40 |     0.76 |   0.90
0448 -     49.87 |   54.98 |     0.99 |   0.99
0449 -     72.50 |   57.37 |     0.67 |   0.71
0450 -      0.00 |    0.00 |     0.82 |   0.82
0451 -      9.16 |   16.73 |     0.95 |   0.96
0452 -      0.00 |    0.00 |     0.87 |   0.88
0453 -      0.00 |    0.00 |     0.75 |   0.74
0454 -     78.10 |   51.04 |     0.94 |   0.97
0455 -      0.00 |    0.00 |     0.76 |   0.74
0456 -      8.84 |   23.79 |     0.93 |   0.94
0457 -      0.00 |    0.00 |     0.91 |   0.98
0458 -     10.13 |   24.40 |     0.98 |   0.99
0459 -     31.97 |   94.77 |     0.77 |   0.84
0460 -     40.29 |    8.49 |     0.93 |   0.94
0461 -      0.00 |    0.00 |     0.81 |   0.87
0462 -     34.07 |   32.06 |     0.93 |   0.96
0463 -     19.91 |   44.40 |     0.80 |   0.76
0464 -      0.00 |   44.17 |     0.79 |   0.83
0465 -     11.21 |   11.54 |     0.77 |   0.81
0466 -     15.70 |   24.64 |     0.88 |   0.96
0467 -     14.19 |   24.12 |     0.82 |   0.83
0468 -      0.00 |    0.00 |     0.52 |   0.73
0469 -     90.68 |   86.83 |     0.82 |   0.83
0470 -      0.00 |    0.00 |     0.68 |   0.66
0471 -     18.78 |   98.57 |     0.98 |   1.00
0472 -     47.77 |   59.67 |     0.79 |   0.80
0473 -     16.25 |  100.00 |     0.94 |   1.00
0474 -     36.06 |   35.42 |     0.93 |   0.99
0475 -     42.46 |   72.13 |     1.00 |   0.98
0476 -     11.50 |    9.25 |     0.81 |   0.77
0477 -      0.00 |    0.00 |     0.88 |   0.88
0478 -      0.00 |    0.00 |     0.67 |   0.68
0479 -      0.00 |    0.00 |     0.56 |   0.62
0480 -     62.59 |   30.38 |     0.77 |   0.89
0481 -     43.21 |   84.65 |     0.96 |   0.99
0482 -      0.00 |    0.00 |     0.67 |   0.65
0483 -     10.79 |   58.02 |     0.87 |   0.89
0484 -      0.00 |    0.00 |     0.83 |   0.84
0485 -      0.00 |    0.00 |     0.69 |   0.78
0486 -     12.99 |   12.30 |     0.89 |   0.90
0487 -      0.00 |    0.00 |     0.68 |   0.70
0488 -     81.57 |   23.90 |     0.97 |   1.00
0489 -     21.65 |   21.46 |     0.81 |   0.83
0490 -      0.00 |    0.00 |     0.84 |   0.83
0491 -     50.15 |    0.00 |     0.82 |   0.81
0492 -      0.00 |    8.16 |     0.97 |   0.98
0493 -      0.00 |    0.00 |     0.72 |   0.72
0494 -     30.92 |   13.66 |     0.96 |   1.00
