==================
SIM GOLD:   0.9254
SIM IN:     0.9566
==================
       GOLD |  IN
0880 - 0.98 | 1.00
0881 - 0.96 | 1.00
0882 - 0.99 | 1.00
0883 - 0.94 | 0.95
0884 - 0.93 | 1.00
0885 - 0.94 | 0.97
0886 - 0.99 | 1.00
0887 - 0.88 | 0.92
0888 - 0.90 | 1.00
0889 - 0.99 | 1.00
0890 - 0.98 | 0.98
0891 - 0.98 | 1.00
0892 - 0.99 | 1.00
0893 - 0.87 | 0.88
0894 - 0.95 | 1.00
0895 - 0.98 | 1.00
0896 - 0.96 | 0.98
0897 - 0.96 | 0.97
0898 - 0.91 | 1.00
0899 - 0.99 | 1.00
0900 - 0.97 | 0.99
0901 - 0.87 | 0.88
0902 - 0.84 | 0.91
0903 - 0.92 | 0.93
0904 - 0.85 | 0.89
0905 - 0.94 | 0.99
0906 - 0.98 | 1.00
0907 - 0.98 | 1.00
0908 - 1.00 | 0.90
0909 - 0.91 | 0.91
0910 - 0.93 | 1.00
0911 - 0.05 | 0.05
0912 - 0.94 | 1.00
0913 - 0.93 | 0.92
0914 - 0.95 | 1.00
0915 - 0.97 | 1.00
0916 - 0.99 | 1.00
0917 - 0.87 | 1.00
0918 - 0.99 | 1.00
0919 - 0.95 | 0.97
